wallet,rule_score
0xcd88e0e0c455345833ce31c5452c1c37f4b4c438,100
0x40b9b889a21ff1534d018d71dc406122ebcf3f5a,100
0x6e4f24a297c496aef5d404725a9bbd4cc23ac795,100
0x9e6316f44baeeee5d41a1070516cc5fa47baf227,100
0x353765840d98943d116912997e3039afb16a0ea5,100
0x91337a300e0361bddb2e377dd4e88ccb7796663d,100
0x32be343b94f860124dc4fee278fdcbd38c102d88,100
0xf8b483dba2c3b7176a3da549ad41a48bb3121069,100
0x027beefcbad782faf69fad12dee97ed894c68549,100
0xc7696b27830dd8aa4823a1cba8440c27c36adec4,100
0x0216d5032f356960cd3749c31ab34eeff21b3395,100
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,100
0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,100
0x9b0a028eafdecde3afc0fd00b7937098388b7c8a,100
0x2a65aca4d5fc5b5c859090a6c34d164135398226,100
0xc597a5d92f5dc1137d847db733cfe02c6d209f13,100
0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,100
0xc96d5d4d54bd18ea9efcc586c4ec82b7c46c6f6b,100
0x68795c4aa09d6f4ed3e5deddf8c2ad3049a601da,100
0xa73844bc8f37dd9c2db267345d351464ec4e2692,100
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,100
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,100
0x2ab9198292602c70ffa61696e3271f2be51c1683,100
0x61787bfe8fc14ebaec68df5f160e7be55bccc758,100
0x1699333a4e46093e15a94b4a213b88eb8a963834,100
0xa8f769b88d6d74fb2bd3912f6793f75625228baf,100
0x7180eb39a6264938fdb3effd7341c4727c382153,100
0x63a9975ba31b0b9626b34300f7f627147df1f526,100
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,100
0xd34da389374caad1a048fbdc4569aae33fd5a375,100
0x7ed1e469fcb3ee19c0366d829e291451be638e59,100
0xc47aaa860008be6f65b58c6c6e02a84e666efe31,100
0x96aa366d0e8de9f6c1693aafe86565831f157e56,100
0x3048a8bfee849b0f52475259ee76eaf20bd985a3,95
0x8a88100a633c95016c6a6331d5cdb1029b75949d,95
0xed6b25b3b2dab2d5d96ac659aabbf812f069351b,90
0x00995ae79d60365b2a0c52a5ad19140dfb8d45f2,90
0xad39d3222a13895a4549a1aca92c5e0432687cfd,90
0x167a9333bf582556f35bd4d16a7e80e191aa6476,90
0xf4fe90e63f2a90710bcc0c00f38812c4a882f2ff,90
0x0c5437b0b6906321cca17af681d59baf60afe7d6,90
0xfd7c9117bbeb649d9b37b3d3c9917f7c12f526b3,80
0x9bcdf86092d1cd705862b8343c7cfe1a9f20d6a6,80
0x00cb2f4cc15e422561c908f9c507800352334115,80
0x4675c7e5baafbffbca748158becba61ef3b0a263,80
0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc,80
0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,80
0x049029dd41661e58f99271a0112dfd34695f7000,80
0xc8ebccc5f5689fa8659d83713341e5ad19349448,80
0x3cd751e6b0078be393132286c442345e5dc49699,80
0xc6c764fc6c1e1211d2b4a06ef2170f660a4512fa,80
0x056507108fe6d30189eccd6cd7f4fad56eeef622,80
